dataset,seed,tau_tuned_on_val,frac_molecules_using_tta_test,auc_solo,auc_tta_full,auc_current_binary_gate,auc_instance_proxy_gate
bbbp,0,0.0,0.0,0.6873,0.684,0.684,0.6873
bbbp,1,0.0984,0.3088,0.7061,0.669,0.669,0.7084
bbbp,2,0.001,0.0049,0.7237,0.6709,0.6709,0.7237
bbbp,3,0.0012,0.0147,0.71,0.6525,0.6525,0.71
bbbp,4,0.0052,0.049,0.723,0.6828,0.6828,0.7228
bbbp,5,0.0043,0.0196,0.6915,0.6479,0.6479,0.6917
bbbp,6,0.0061,0.0392,0.712,0.6566,0.6566,0.7119
bbbp,7,0.1286,0.3431,0.7126,0.6614,0.6614,0.7174
bbbp,8,0.0113,0.0686,0.7122,0.6703,0.6703,0.712
bbbp,9,0.1594,0.5294,0.6968,0.6704,0.6704,0.7077
bace,0,0.0492,0.4803,0.8038,0.7752,0.7752,0.8009
bace,1,0.0448,0.3421,0.7991,0.7674,0.7674,0.7973
bace,2,0.1313,0.8289,0.7973,0.7418,0.7418,0.8016
bace,3,0.1256,0.7237,0.7966,0.7455,0.7455,0.7804
bace,4,0.0447,0.3487,0.7866,0.7792,0.7792,0.7832
bace,5,0.2485,0.8882,0.8034,0.752,0.752,0.787
bace,6,0.1238,0.7829,0.8132,0.773,0.773,0.8149
bace,7,0.2045,0.8158,0.7467,0.763,0.763,0.7513
bace,8,0.1605,0.8026,0.7875,0.7259,0.7259,0.7687
bace,9,0.1437,1.0,0.7868,0.7656,0.7656,0.7656
clintox,0,0.0,0.0,0.9884,0.5,0.9884,0.9884
clintox,1,0.0761,0.6622,0.9865,0.4185,0.9865,0.9873
clintox,2,0.1366,0.7466,0.9857,0.3614,0.9857,0.9853
clintox,3,0.0674,0.4426,0.9846,0.3564,0.9846,0.988
clintox,4,0.106,0.6824,0.9862,0.3829,0.9862,0.9877
clintox,5,0.0003,0.0,0.9804,0.4092,0.9804,0.9804
clintox,6,0.0618,0.6419,0.9825,0.4443,0.9825,0.9855
clintox,7,0.0274,0.2804,0.9858,0.3887,0.9858,0.9858
clintox,8,0.1552,0.723,0.9834,0.4273,0.9834,0.9838
clintox,9,0.1215,0.6318,0.9876,0.3363,0.9876,0.9895
