dataset,threshold,minority_ratio_val,tta_enabled,auc_chemberta_solo,auc_chemberta_tta,auc_with_this_threshold,matches_current_choice_0.15
bbbp,0.05,0.451,True,0.7075,0.6666,0.6666,True
bbbp,0.1,0.451,True,0.7075,0.6666,0.6666,True
bbbp,0.15,0.451,True,0.7075,0.6666,0.6666,True
bbbp,0.2,0.451,True,0.7075,0.6666,0.6666,True
bbbp,0.25,0.451,True,0.7075,0.6666,0.6666,True
bbbp,0.3,0.451,True,0.7075,0.6666,0.6666,True
bace,0.05,0.4437,True,0.7921,0.7589,0.7589,True
bace,0.1,0.4437,True,0.7921,0.7589,0.7589,True
bace,0.15,0.4437,True,0.7921,0.7589,0.7589,True
bace,0.2,0.4437,True,0.7921,0.7589,0.7589,True
bace,0.25,0.4437,True,0.7921,0.7589,0.7589,True
bace,0.3,0.4437,True,0.7921,0.7589,0.7589,True
clintox,0.05,0.0405,False,0.9851,0.4025,0.9851,True
clintox,0.1,0.0405,False,0.9851,0.4025,0.9851,True
clintox,0.15,0.0405,False,0.9851,0.4025,0.9851,True
clintox,0.2,0.0405,False,0.9851,0.4025,0.9851,True
clintox,0.25,0.0405,False,0.9851,0.4025,0.9851,True
clintox,0.3,0.0405,False,0.9851,0.4025,0.9851,True
