dataset,candidate,type,val_auc_mean
bbbp,chemberta_solo,individual,0.9892274844720499
bbbp,ecfp_rf,individual,0.9720399844720496
bbbp,stack_rf_cb_cal,ensemble,0.9642573439623984
bbbp,stack_rf_dmpnn_cal,ensemble,0.963950745230108
bbbp,stack_rf_cb,ensemble,0.9634409663798248
bbbp,stack_all_cal,ensemble,0.9632856808711049
bbbp,stack_rf_dmpnn,ensemble,0.9626237797783871
bbbp,avg_rf_dmpnn_cal,ensemble,0.9624907636376887
bbbp,weighted_rf_dmpnn_cal,ensemble,0.9624899017544738
bbbp,stack_all,ensemble,0.9621583765472561
bbbp,weighted_rf_dmpnn,ensemble,0.9617428560842921
bbbp,avg_rf_dmpnn,ensemble,0.961582165953167
bbbp,weighted_all_cal,ensemble,0.9597117859357492
bbbp,avg_all_cal,ensemble,0.9592116785106753
bbbp,weighted_all,ensemble,0.9574593366200912
bbbp,avg_all,ensemble,0.95692070708657
bbbp,weighted_rf_cb_cal,ensemble,0.9542719132473222
bbbp,avg_rf_cb_cal,ensemble,0.9520236366241781
bbbp,weighted_rf_cb,ensemble,0.9506434101323041
bbbp,avg_rf_cb,ensemble,0.9483863301567963
bbbp,stack_cb_dmpnn_cal,ensemble,0.9436933252357778
bbbp,weighted_cb_dmpnn_cal,ensemble,0.941829643819703
bbbp,avg_cb_dmpnn_cal,ensemble,0.9415500131609056
bbbp,stack_cb_dmpnn,ensemble,0.9414913755971709
bbbp,weighted_cb_dmpnn,ensemble,0.939752945263178
bbbp,avg_cb_dmpnn,ensemble,0.9387661839958487
bbbp,dmpnn_solo,individual,0.933103649068323
bbbp,chemberta_tta_solo,individual,0.8762325310559005
bace,ecfp_rf,individual,0.7238272921108742
bace,stack_rf_cb_cal,ensemble,0.7203217184117339
bace,stack_rf_cb,ensemble,0.7187161529675461
bace,weighted_rf_cb_cal,ensemble,0.7182030874583507
bace,avg_rf_cb_cal,ensemble,0.7176948495862583
bace,weighted_rf_cb,ensemble,0.7153308354499531
bace,avg_rf_cb,ensemble,0.7143046272441009
bace,stack_all_cal,ensemble,0.7127060518915782
bace,stack_rf_dmpnn_cal,ensemble,0.7115057989052571
bace,stack_all,ensemble,0.7114516206646238
bace,stack_rf_dmpnn,ensemble,0.7108603930096964
bace,weighted_rf_dmpnn_cal,ensemble,0.7089974512472965
bace,weighted_all_cal,ensemble,0.7074469231147249
bace,avg_rf_dmpnn_cal,ensemble,0.7072598649515833
bace,avg_all_cal,ensemble,0.7071388382114387
bace,weighted_rf_dmpnn,ensemble,0.70207264446653
bace,avg_rf_dmpnn,ensemble,0.7011989980378525
bace,weighted_all,ensemble,0.6999199542831895
bace,avg_all,ensemble,0.6996676508046478
bace,stack_cb_dmpnn_cal,ensemble,0.6515800544312929
bace,weighted_cb_dmpnn_cal,ensemble,0.6509605121715802
bace,avg_cb_dmpnn_cal,ensemble,0.6508972441616405
bace,stack_cb_dmpnn,ensemble,0.6495862097425565
bace,dmpnn_solo,individual,0.6495380241648899
bace,avg_cb_dmpnn,ensemble,0.6473219781336654
bace,weighted_cb_dmpnn,ensemble,0.6473204025707122
bace,chemberta_solo,individual,0.6438877043354656
bace,chemberta_tta_solo,individual,0.6240582800284293
clintox,weighted_cb_dmpnn,ensemble,0.9764457652465317
clintox,avg_cb_dmpnn,ensemble,0.9758971315242867
clintox,avg_cb_dmpnn_cal,ensemble,0.9742430017566512
clintox,weighted_all,ensemble,0.9740425654592322
clintox,weighted_cb_dmpnn_cal,ensemble,0.9738709842821432
clintox,avg_all,ensemble,0.973736515967359
clintox,stack_cb_dmpnn,ensemble,0.9730906662604459
clintox,stack_all,ensemble,0.972943417002325
clintox,weighted_all_cal,ensemble,0.9724702722068622
clintox,avg_all_cal,ensemble,0.9713540034181797
clintox,stack_all_cal,ensemble,0.9703911965889935
clintox,stack_cb_dmpnn_cal,ensemble,0.9701775213753183
clintox,stack_rf_cb,ensemble,0.9700839189811891
clintox,stack_rf_cb_cal,ensemble,0.9698326937891115
clintox,weighted_rf_cb_cal,ensemble,0.9685462269035066
clintox,avg_rf_cb_cal,ensemble,0.9685462269035066
clintox,weighted_rf_cb,ensemble,0.9680765081821117
clintox,avg_rf_cb,ensemble,0.9663386992867358
clintox,chemberta_solo_gated,individual,0.960894444682278
clintox,chemberta_solo,individual,0.960894444682278
clintox,avg_rf_dmpnn_cal,ensemble,0.9164581935731363
clintox,weighted_rf_dmpnn_cal,ensemble,0.9157861636819972
clintox,stack_rf_dmpnn,ensemble,0.9066318538049861
clintox,weighted_rf_dmpnn,ensemble,0.9025942777068255
clintox,avg_rf_dmpnn,ensemble,0.898746411652063
clintox,stack_rf_dmpnn_cal,ensemble,0.8771051430388116
clintox,dmpnn_solo,individual,0.8572887680694092
clintox,ecfp_rf,individual,0.8322101045992266
